usrID,logID,view,event,category,index,start,end,userSession
519,bkm_8,,bookmark window,bookmarking,6,0,1,1
519,dat_2_DT,,Upload Data Tables,data,0,6,7,1
519,dat_2_DT,,Upload Data Tables,data,0,10,11,1
519,dat_1,,New Network,data,0,12,13,1
519,dat_2_LK,,Upload new Link table,data,0,29,30,1
519,log_12,,Close Webpage/End of Activity,logging,2,50,51,1
519,err,,Error Type,error,5,75,76,1
519,bkm_8,,bookmark window,bookmarking,6,76,77,1
519,log_12,,Close Webpage/End of Activity,logging,2,80,81,1
519,err,,Error Type,error,5,81,82,1
519,bkm_8,,bookmark window,bookmarking,6,81,82,1
519,log_12,,Close Webpage/End of Activity,logging,2,84,85,1
519,log_2,,Visit Page ,logging,2,0,1,2
519,bkm_8,,bookmark window,bookmarking,6,15,16,2
519,dat_11,,Specify Column: location_source,data,0,32,33,2
519,dat_11,,Specify Column: location_source,data,0,36,37,2
519,dat_11,,Specify Column: location_source,data,0,38,41,2
519,dat_11,,Specify Column: location_source,data,0,47,48,2
519,dat_11,,Specify Column: location_source,data,0,52,53,2
519,log_12,,Close Webpage/End of Activity,logging,2,73,74,2
