usrID,logID,view,event,category,index,start,end,userSession
2039,dat_1,,New Network,data,0,0,1,1
2039,hlp_8,,Tutorials,help,3,22,23,1
2039,log_2,,Visit Page ,logging,2,539,540,1
2039,hlp_4,,Vis Example(s),help,3,546,547,1
2039,log_2,Node-Link,Visit Page Node-Link,logging,2,546,548,1
2039,vis_32,Node-Link,Link,visualization,1,553,555,1
2039,vis_30,Node-Link,Node,visualization,1,555,556,1
2039,vis_32,Node-Link,Link,visualization,1,555,557,1
2039,vis_30,Node-Link,Node,visualization,1,556,557,1
2039,vis_32,Node-Link,Link,visualization,1,556,558,1
2039,vis_30,Node-Link,Node,visualization,1,557,558,1
2039,vis_32,Node-Link,Link,visualization,1,559,561,1
2039,vis_30,Node-Link,Node,visualization,1,560,561,1
2039,vis_32,Node-Link,Link,visualization,1,561,562,1
2039,vis_31,Node-Link,Link_click,visualization,1,561,562,1
2039,vis_32,Node-Link,Link,visualization,1,562,563,1
2039,vis_30,Node-Link,Node,visualization,1,563,564,1
2039,vis_32,Node-Link,Link,visualization,1,563,564,1
2039,vis_31,Node-Link,Link_click,visualization,1,564,565,1
2039,vis_32,Node-Link,Link,visualization,1,564,565,1
2039,vis_41,Node-Link,Zoom,visualization,1,565,567,1
2039,log_4,Node-Link,Return to Data View,logging,2,590,591,1
2039,log_2,,Visit Page ,logging,2,590,591,1
2039,log_2,,Visit Page ,logging,2,597,598,1
2039,log_2,,Visit Page ,logging,2,605,606,1
2039,log_2,Node-Link,Visit Page Node-Link,logging,2,611,612,1
2039,vis_32,Node-Link,Link,visualization,1,643,649,1
2039,vis_32,Node-Link,Link,visualization,1,660,662,1
2039,vis_30,Node-Link,Node,visualization,1,661,662,1
2039,vis_32,Node-Link,Link,visualization,1,661,662,1
2039,vis_30,Node-Link,Node,visualization,1,661,662,1
2039,vis_32,Node-Link,Link,visualization,1,661,662,1
2039,vis_41,Node-Link,Zoom,visualization,1,661,663,1
2039,vis_32,Node-Link,Link,visualization,1,662,663,1
2039,vis_41,Node-Link,Zoom,visualization,1,662,663,1
2039,vis_32,Node-Link,Link,visualization,1,662,663,1
2039,vis_41,Node-Link,Zoom,visualization,1,662,663,1
2039,vis_32,Node-Link,Link,visualization,1,662,663,1
2039,vis_41,Node-Link,Zoom,visualization,1,662,664,1
2039,vis_32,Node-Link,Link,visualization,1,663,664,1
2039,vis_41,Node-Link,Zoom,visualization,1,663,665,1
2039,vis_32,Node-Link,Link,visualization,1,664,665,1
2039,vis_41,Node-Link,Zoom,visualization,1,664,665,1
2039,vis_32,Node-Link,Link,visualization,1,664,665,1
2039,vis_41,Node-Link,Zoom,visualization,1,664,666,1
2039,vis_32,Node-Link,Link,visualization,1,665,666,1
2039,vis_41,Node-Link,Zoom,visualization,1,665,666,1
2039,vis_32,Node-Link,Link,visualization,1,665,666,1
2039,vis_41,Node-Link,Zoom,visualization,1,665,667,1
2039,vis_32,Node-Link,Link,visualization,1,666,667,1
2039,vis_41,Node-Link,Zoom,visualization,1,666,667,1
2039,vis_32,Node-Link,Link,visualization,1,666,667,1
2039,vis_41,Node-Link,Zoom,visualization,1,666,667,1
2039,vis_30,Node-Link,Node,visualization,1,666,667,1
2039,vis_41,Node-Link,Zoom,visualization,1,666,668,1
2039,vis_32,Node-Link,Link,visualization,1,667,671,1
2039,vis_30,Node-Link,Node,visualization,1,671,672,1
2039,vis_32,Node-Link,Link,visualization,1,672,673,1
2039,log_2,,Visit Page ,logging,2,0,1,2
2039,hlp_4,,Vis Example(s),help,3,4,5,2
2039,log_2,Node-Link,Visit Page Node-Link,logging,2,4,5,2
2039,log_2,,Visit Page ,logging,2,0,1,3
2039,hlp_4,,Vis Example(s),help,3,4,5,3
2039,log_2,Node-Link,Visit Page Node-Link,logging,2,5,7,3
2039,vis_32,Node-Link,Link,visualization,1,12,13,3
2039,vis_30,Node-Link,Node,visualization,1,13,14,3
2039,vis_32,Node-Link,Link,visualization,1,15,16,3
2039,vis_30,Node-Link,Node,visualization,1,16,17,3
2039,vis_32,Node-Link,Link,visualization,1,16,19,3
2039,vis_30,Node-Link,Node,visualization,1,18,20,3
2039,vis_32,Node-Link,Link,visualization,1,19,20,3
2039,vis_30,Node-Link,Node,visualization,1,20,21,3
2039,vis_32,Node-Link,Link,visualization,1,20,21,3
2039,vis_30,Node-Link,Node,visualization,1,21,23,3
2039,vis_32,Node-Link,Link,visualization,1,23,25,3
2039,vis_30,Node-Link,Node,visualization,1,24,25,3
2039,vis_32,Node-Link,Link,visualization,1,24,26,3
2039,vis_30,Node-Link,Node,visualization,1,25,26,3
2039,vis_32,Node-Link,Link,visualization,1,34,37,3
2039,log_4,Node-Link,Return to Data View,logging,2,40,41,3
2039,log_2,,Visit Page ,logging,2,40,41,3
2039,vis_1,,Visualization Link,visualization,1,63,64,3
2039,log_2,Map,Visit Page Map,logging,2,65,66,3
2039,vis_41,Map,Zoom,visualization,1,83,84,3
2039,log_4,Map,Return to Data View,logging,2,89,90,3
2039,log_2,,Visit Page ,logging,2,89,90,3
2039,hlp_8,,Tutorials,help,3,125,126,3
2039,log_2,,Visit Page ,logging,2,0,1,4
2039,log_2,,Visit Page ,logging,2,46,47,4
2039,log_2,,Visit Page ,logging,2,0,1,5
