user,uuid,ts,category,action,label,value
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632741940799,log_1,Vistorian Trace,Session,Start
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632741940799,log_2,index,webpage,load
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632741950572,log_9,start logging,webpage,/
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632741950573,log_9,VistorianLab,ON,/
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742137309,log_18,page,blur,/
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742410416,log_3,index,my session href,click
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742410427,log_18,page,blur,/
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742411113,log_1,Vistorian Trace,Session,Start
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742411113,log_17,page,focus,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742411114,log_9,VistorianLab,ON,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742411781,log,load,webpage,/web/dataview.html
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742411781,log_9,VistorianLab,ON,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742420668,log_18,page,blur,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742426246,log_17,page,focus,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742426247,log_9,VistorianLab,ON,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742429132,log_18,page,blur,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742445508,log_17,page,focus,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742445509,log_9,VistorianLab,ON,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742445623,dat_2_DT,data view,DataTables_FileUpload,new file upload
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742449343,log_18,page,blur,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742457948,log_17,page,focus,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742457951,log_9,VistorianLab,ON,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742460503,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742460504,dat_1,data view,new network,created
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742471371,log_18,page,blur,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742483475,log_17,page,focus,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742483475,log_9,VistorianLab,ON,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742491655,bkm_8, bookmark window ,minimized,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742501568,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742501569,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742501573,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742501574,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742501583,dat_3_LK,data view,LinkTable_select, LK selected
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742504052,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742504053,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742504064,dat_12,data view,directed checkbox,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742505658,log_18,page,blur,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742513274,log_17,page,focus,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742513276,log_9,VistorianLab,ON,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742515857,log_18,page,blur,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742526381,log_17,page,focus,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742526381,log_9,VistorianLab,ON,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742543965,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742543966,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742544084,dat_11,data view,Column Data Type Specified,location_source
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742544721,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742544722,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742545069,log_18,page,blur,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742548863,log_17,page,focus,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742548865,log_9,VistorianLab,ON,dataview
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742551448,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742551449,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742551853,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742551854,dat_18,data view,network_status,False
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742551854,dat_11,data view,Column Data Type Specified,source
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742554085,dat_18,data view,network_status,True
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742554085,dat_18,data view,network_status,True
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742554518,dat_18,data view,network_status,True
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742554518,dat_18,data view,network_status,True
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742554518,dat_11,data view,Column Data Type Specified,target
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742558536,dat_18,data view,network_status,True
482,f55393cc-813f-4d01-898c-11d80f95b3c6,1632742558536,dat_18,data view,network_status,True
