user,ts,category,action,label,value,ip,referer
2596,1654730377473,_trace,document.location,href,c948869d-ddd2-4e85-b187-97d31d405a8e,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730377473,log_2,load,webpage,/dataview/,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730384241,dat_1,data view,new network,created,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730788653,dat_2_NT,data view,upload NT,Node Table,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730802309,dat_2,File Uploaded,File Uploaded,Book1.csv,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730809421,dat_2,data view,table has header,True,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730833356,dat_11,data view,Node Table,Add Relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730853304,dat_11,Column Type Specified,Column:,relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730875425,dat_11,data view,Node Table,Add Relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730878827,dat_11,Column Type Specified,Column:,relation,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730894140,vis_1,data view,Create Visualization,nodelink,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730894143,dat_19,Network size,nodes,0,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730894143,dat_19,Network size,links,0,165.225.10.181,https://vistorian.net/dataview/?session=0
2596,1654730895351,_trace,document.location,href,c948869d-ddd2-4e85-b187-97d31d405a8e,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730895351,log_2,load,webpage,/nodelink/,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730896603,_trace,document.location,href,c948869d-ddd2-4e85-b187-97d31d405a8e,165.225.10.181,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=Webmail
2596,1654730896603,log_2,node link,webpage,load,165.225.10.181,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=Webmail
2596,1654730903999,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730904072,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730904185,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730904460,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730904475,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730904517,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730904626,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730904947,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730904955,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730904974,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730904994,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730905043,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730905355,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
2596,1654730905380,vis_41,zoom,True,nodelink,165.225.10.181,https://vistorian.net/nodelink/?session=0&datasetName=Webmail
