user,uuid,ts,category,action,label,value
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928812794,log_3,index,my session href,click
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928812794,log_1,Vistorian Trace,Session,Start
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928814420,log_2,index,webpage,load
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928821362,log_9,start logging,webpage,index
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928821363,log_9,VistorianLab,ON,index
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928830978,log_3,index,my session href,click
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928830993,log_18,page,blur,index
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928832603,log_1,Vistorian Trace,Session,Start
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928832603,log,load,webpage,/web/dataview.html
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928832604,log_9,VistorianLab,ON,dataview
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928842067,bkm_8, bookmark window ,minimized,dataview
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928845558,log_18,page,blur,dataview
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928848479,log_17,page,focus,dataview
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928848480,log_9,VistorianLab,ON,dataview
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928848629,dat_2_DT,data view,DataTables_FileUpload,new file upload
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928849854,log_18,page,blur,dataview
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928852439,log_17,page,focus,dataview
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928852440,log_9,VistorianLab,ON,dataview
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928852552,dat_2_DT,data view,DataTables_FileUpload,new file upload
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928854879,dat_18,data view,network_status,False
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928854880,dat_1,data view,new network,created
519,c69a8d42-160c-4c43-948b-908e9f40593b,1632928865632,dat_9,data view,network name,updated
