user,ts,category,action,label,value,ip,referer
2039,1646576031512,_trace,document.location,href,0dca6cbd-5bd6-4088-821c-d285ce22b30f,90.90.210.78,https://vistorian.net/dataview?session=0
2039,1646576031512,log_2,load,webpage,/dataview,90.90.210.78,https://vistorian.net/dataview?session=0
2039,1646576037194,dat_1,data view,new network,created,90.90.210.78,https://vistorian.net/dataview?session=0
2039,1646576059546,hlp_8,dataview,tutorials,click,90.90.210.78,https://vistorian.net/dataview?session=0
2039,1646576576786,log_2,index,webpage,load,90.90.210.78,https://vistorian.net/
2039,1646576583428,hlp_4,index,Node Link Example,click,90.90.210.78,https://vistorian.net/
2039,1646576583828,_trace,document.location,href,0dca6cbd-5bd6-4088-821c-d285ce22b30f,90.90.210.78,https://vistorian.net/nodelink/?session=0&datasetName=demo_scientists
2039,1646576583828,log_2,load,webpage,/nodelink/,90.90.210.78,https://vistorian.net/nodelink/?session=0&datasetName=demo_scientists
2039,1646576584422,_trace,document.location,href,0dca6cbd-5bd6-4088-821c-d285ce22b30f,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576584422,log_2,node link,webpage,load,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576590472,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576590811,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576590868,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576590994,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576591884,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576592174,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576592260,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576592394,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576592782,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576592847,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576592899,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576593032,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576593088,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576593249,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576593322,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576593593,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576594207,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576594274,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576597008,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576597598,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576597658,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576598185,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576598299,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576598361,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576598989,vis_31,/node_modules/vistorian-nodelink/web/index.html,Link,Click,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576599407,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576599452,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576600283,vis_30,/node_modules/vistorian-nodelink/web/index.html,Node,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
2039,1646576600410,vis_32,/node_modules/vistorian-nodelink/web/index.html,Link,Mouse Over,90.90.210.78,https://vistorian.net/node_modules/vistorian-nodelink/web/index.html?session=0&datasetName=demo_scientists
