user,uuid,ts,category,action,label,value
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622737865995,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622737865995,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622737865995,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622737865995,_trace,window,innerSize,w:1920;h:969
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622737865995,log_10,stop logging,webpage,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622737869101,log,load,webpage,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622737869349,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622737871229,log_17,page,focus,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622737873175,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738710826,log_17,page,focus,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738712016,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738729501,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738729501,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738729501,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738729501,_trace,window,innerSize,w:1139;h:969
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738729501,log_2,index,webpage,load
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738742397,hlp_2,index,importing data,click
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738751104,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738751104,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738751104,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738751104,_trace,window,innerSize,w:1139;h:969
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738751104,log_2,index,webpage,load
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738759703,com_2,index,vistorinaLab study,click
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738815735,log_17,page,focus,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738818091,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738909070,log_17,page,focus,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622738909299,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622739017389,log_17,page,focus,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622739018459,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622740589674,log_17,page,focus,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1622740590446,log_12,page,close,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242995049,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242995049,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242995049,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242995049,_trace,window,innerSize,w:1920;h:969
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242995049,log_2,index,webpage,load
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242996965,hlp_6,index,Demo href,click
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242998204,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242998205,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242998205,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242998205,_trace,window,innerSize,w:1920;h:969
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242998205,log,load,webpage,/web/dataview.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242999543,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623242999849,log_17,page,focus,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243004863,dat_11,data view,Column Data Type Specified,location_target
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243006430,dat_11,data view,Column Data Type Specified,target
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243008103,dat_11,data view,Column Data Type Specified,id
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243010204,dat_11,data view,Column Data Type Specified,location_source
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243011847,dat_11,data view,Column Data Type Specified,location_target
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243017512,vis_1,data view,Vis Creation Link Clicked,matrix
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243017523,log_18,page,blur,dataview
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243017936,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243017936,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243017936,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243017936,_trace,window,innerSize,w:1920;h:969
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243017936,err,Uncaught TypeError: Cannot read property 'set' of undefined https://vistorian.online/lib/vistorian-web.js60142,{},/web/matrix.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243019346,log_2,load,webpage,/web/matrix.html
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243020680,log_18,page,blur,matrix
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243032757,log_1,Vistorian Trace,Session,Start
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243032757,_trace,document.location,href,e4fd31af-a55d-46dc-b65d-391342a95950
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243032757,_trace,browser,userAgent,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/91.0.4472.77 Safari/537.36"
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243032757,_trace,screen,size,w:1920;h:1080
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243032757,_trace,window,innerSize,w:1668;h:917
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243032757,vis_34,Matrix,Zoom Range,17
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243033756,vis_34,Matrix,Zoom Range,14
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243034477,vis_34,Matrix,Zoom Range,20
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243039525,vis_34,Matrix,Zoom Range,9
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243040157,vis_36,Matrix,Rerun Button,Clicked
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243040733,vis_36,Matrix,Rerun Button,Clicked
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243040933,vis_36,Matrix,Rerun Button,Clicked
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243041117,vis_36,Matrix,Rerun Button,Clicked
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243042237,vis_35,Matrix,labelingType,reverse-alpha
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243044053,vis_35,Matrix,labelingType,similarity
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243045541,vis_36,Matrix,Rerun Button,Clicked
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243046869,vis_35,Matrix,labelingType,degree
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243048797,vis_35,Matrix,labelingType,alphanumerical
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243052680,log_17,page,focus,matrix
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243052824,log_4,/web/matrix.html,Return to Data View Button,Clicked
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243052837,log_18,page,blur,matrix
187,e4fd31af-a55d-46dc-b65d-391342a95950,1623243053691,log_1,Vistorian Trace,Session,Start
