user,uuid,ts,category,action,label,value
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191518485,log,load,webpage,/web/dataview.html
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191518485,log_1,Vistorian Trace,Session,Start
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191539521,log_,Start Tour Button,clicked,dataview
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191551521,dat_18,data view,network_status,False
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191551523,dat_1,data view,new network,created
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191577783,log_18,page,blur,dataview
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191583766,log_17,page,focus,dataview
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191583901,dat_2_LK,data view,LinkTable_FileUpload,new LK file upload
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191584814,dat_18,data view,network_status,False
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191584815,dat_18,data view,network_status,False
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191584817,dat_18,data view,network_status,False
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191584818,dat_18,data view,network_status,False
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191585491,dat_18,data view,network_status,False
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191585491,dat_18,data view,network_status,False
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191624892,dat_18,data view,network_status,False
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1631191720496,log_12,page,close,/web/dataview.html
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944781463,log_2,index,webpage,load
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944781463,log_1,Vistorian Trace,Session,Start
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944807251,log_9,start logging,webpage,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944807253,log_9,VistorianLab,ON,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944813893,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944883617,log_3,index,my session href,click
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944883662,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944886766,log_1,Vistorian Trace,Session,Start
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944886766,err,Uncaught ReferenceError: startVisGuide is not defined https://vistorian.online/web/dataview.html?session=1631190661335153,{},/web/dataview.html
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944887538,log,load,webpage,/web/dataview.html
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944887538,log_9,VistorianLab,ON,dataview
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944905683,bkm_8, bookmark window ,minimized,dataview
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944907964,log_12,page,close,/web/dataview.html
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633944907965,dat_5,data view,browser cache,cleared
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633945690988,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633945699382,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633945712588,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633945718076,hlp_2,index,Data Formating,click
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633945718101,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633945832160,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633945834213,log_3,index,my session href,click
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633945834235,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633945970608,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633945971705,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633946063209,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633946068579,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633946092060,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633946093331,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633946252985,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633946254972,log_3,index,my session href,click
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633946254998,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633951694375,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633951814275,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633957216773,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633957218831,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633959407194,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633959409173,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633959413142,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633959433964,hlp_3,index,help video,play
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633959436527,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633959717560,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633961728305,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633961864409,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633961886435,log_3,index,my session href,click
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633961886528,log_18,page,blur,/
411,6f06757a-4b4c-4e6e-873d-98789e9776d9,1633962323310,log_18,page,blur,/
