user,ts,category,action,label,value,ip,referer
2461,1656702953063,_trace,document.location,href,9ec3b4c7-5a47-4e8b-b7f1-fdc3e2b146b7,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656702953063,log_2,load,webpage,/dataview/,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656702960900,dat_1,data view,new network,created,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703095682,log_2,index,webpage,load,31.10.150.210,https://vistorian.net/
2461,1656703108167,_trace,document.location,href,9ec3b4c7-5a47-4e8b-b7f1-fdc3e2b146b7,31.10.150.210,https://vistorian.net/
2461,1656703108167,log_2,index,webpage,load,31.10.150.210,https://vistorian.net/
2461,1656703327011,_trace,document.location,href,9ec3b4c7-5a47-4e8b-b7f1-fdc3e2b146b7,31.10.150.210,https://vistorian.net/
2461,1656703327011,log_2,index,webpage,load,31.10.150.210,https://vistorian.net/
2461,1656703330559,log_2,load,webpage,/dataview/,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703332613,dat_1,data view,new network,created,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703347932,dat_2_LT,data view,upload LK,Link Table,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703357969,dat_12,data view,directed checkbox,True,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703364954,dat_2,File Uploaded,File Uploaded,maze.csv.csv,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703369766,dat_2,data view,table has header,True,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703384612,dat_11,Column Type Specified,Target node label:*,target,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703419965,vis_1,data view,Create Visualization,map,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703419969,dat_19,Network size,nodes,0,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703419969,dat_19,Network size,links,0,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703420701,_trace,document.location,href,9ec3b4c7-5a47-4e8b-b7f1-fdc3e2b146b7,31.10.150.210,https://vistorian.net/map/?session=0&datasetName=maze
2461,1656703420701,log_2,load,webpage,/map/,31.10.150.210,https://vistorian.net/map/?session=0&datasetName=maze
2461,1656703426552,_trace,document.location,href,9ec3b4c7-5a47-4e8b-b7f1-fdc3e2b146b7,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703426552,log_2,load,webpage,/dataview/,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703433627,dat_1,data view,new network,created,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703443893,dat_2_LT,data view,upload LK,Link Table,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703447439,dat_12,data view,directed checkbox,True,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703452791,dat_2,File Uploaded,File Uploaded,maze.csv.csv,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703457485,dat_11,Column Type Specified,Target node label:*,target,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703467345,dat_2,data view,table has header,True,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703478021,vis_1,data view,Create Visualization,nodelink,31.10.150.210,https://vistorian.net/dataview/?session=0
2461,1656703478025,dat_19,Network size,nodes,0,31.10.150.210,https://vistorian.net/dataview/?session=0
